"","Yield","Latitude","Longitude"
"97",40.85888935,0.884844395843359,120.871236058211
"98",43.54382941,2.15514681719451,120.883285102822
"99",42.33718282,3.44247949631449,120.877647477021
"100",39.21861947,4.71886415275146,120.868472517138
"101",38.24887159,6.00199456008616,120.881958591545
"102",36.95594327,7.28191797092497,120.894339259262
"103",34.007656,8.59424310620011,120.890249216336
"104",34.58567792,9.87062776263708,120.89699227082
"105",34.47788226,11.1475653491792,120.891244102936
"106",34.20532312,12.4183101149288,120.891023020341
"107",34.1621331,13.7157061279349,120.892128436457
"108",33.18495393,14.9986153638562,120.900308520736
"109",33.61593004,16.2825198844959,120.905946146537
"110",33.07736478,17.5604527353268,120.90605668862
"111",30.66098367,18.8622721923174,120.880963737934
"112",28.44421673,20.1455131861446,120.902077187777
"113",31.44271045,21.4100651413166,120.901524478934
"114",30.62883401,22.6861180280611,120.884279976854
"115",29.7631647,23.9659308531932,120.889917591659
"116",25.55984569,25.2522682570238,120.884390518937
"117",25.4150144,26.5250035725664,120.859850277094
"118",22.72815601,27.7995082649171,120.875768278893
"119",26.11018078,29.0951349121158,120.863277058097
"120",26.84091126,30.3769382862552,120.869799017419
"121",32.4687943,31.6561981702814,120.866482776927
"122",30.21455293,32.9299287713283,120.8767631435
"123",36.66060116,34.2263295098308,120.876210434657
"124",30.17773212,35.5160950823565,120.911583761342
"125",34.05528012,36.8230014999292,120.915342178019
"126",28.34816722,38.1199551685369,120.926396358022
"127",33.08279165,39.4166876649453,120.909483480619
"128",27.63846833,40.7107660847481,120.890801947172
"129",32.33591501,42.0105949919457,120.903072063381
"130",28.60071848,43.3055581225467,120.907935896173
"131",32.40519074,44.58990497737,120.915563273181
"132",31.42986723,45.8683907693067,120.882953476574
"133",32.01565073,47.1632433024146,120.90218772986
"134",32.29698207,48.4421714387498,120.868914694894
"135",31.94017626,49.7342593197602,120.887485686259
"136",31.6955898,51.0351940879539,120.893233841576
"137",31.6955898,52.3309313098587,120.88969652006
"138",32.1885669,53.6125135117988,120.87587880998
"139",32.40519074,54.891109890228,120.852112359575
"140",31.90889597,56.1898329364295,120.848022305653
"141",32.15512847,57.4786032344515,120.871899298141
"142",31.90889597,58.7786533138483,120.893786550419
"143",33.72311686,60.0782610488467,120.900861229579
"144",33.52986172,61.3931296648058,120.895665770539
"145",34.30608489,62.6817893771211,120.862282182494
"146",33.50981068,63.98327707542,120.882732393979
"147",33.25515458,65.2885247011057,120.895002508617
"148",30.90205176,66.6050521081661,120.899313645133
"149",31.37532552,67.9079774261528,120.88405889426
"150",33.1492111,69.2134462240377,120.882511309813
"151",28.60071848,70.5169244721296,120.906941022141
"152",28.16929763,71.8373223922836,120.915673815263
"153",28.48931226,73.1496475275588,120.884501072016
"154",29.33645652,74.4600926995334,120.841500368324
"155",28.814228,75.7616909843248,120.843158482286
"156",28.37958652,77.0767807724831,120.863498151688
"157",32.92802223,78.4175265443949,120.894118186092
"158",31.68543302,79.7523006449264,120.867919808295
"159",34.99907001,81.093488750236,120.877979101698
"160",30.46221309,82.4179783666835,120.896329019894
"161",33.7401506,83.7419150420251,120.910699438817
"162",26.92224014,85.0783479446585,120.888259488693
"163",28.79289279,86.4033904809962,120.881848071454
"164",24.30711629,87.7313082441374,120.890249238329
"165",28.27444208,89.0478356511979,120.890138697817
"166",23.36829756,90.3770804695358,120.88383782109
"167",28.48453069,91.6919490737085,120.860734610615
"168",26.39366727,93.0206409619412,120.87433123653
"169",32.65292265,94.3486693225755,120.873557434096
"170",31.06413841,95.6845492951038,120.869135766493
"171",34.58090559,97.0011872878709,120.882511309813
"172",30.46221309,98.3296579929038,120.891796811779
"173",29.01005262,99.6487288798624,120.885938101813
"174",29.65428697,100.95928463833,120.889585977978
"175",28.69481957,102.275259114499,120.87908452881
"176",25.94747587,103.58183377338,120.869135777489
"177",26.24035691,104.873700482191,120.877979101698
"178",27.74604689,106.167004809905,120.895665770539
"179",26.24035691,107.460862068509,120.940103515024
"180",27.10655853,108.763123869898,120.925290940336
"181",27.96039327,110.059303436201,120.917331940222
"182",28.06553833,111.36554633639,120.912799730536
"183",29.97191562,112.672895098362,120.923080106534
"184",28.39131333,113.96277125738,120.925733107096
"185",32.83138065,115.270341190764,120.88814894661
"186",32.30186504,116.583661601329,120.91943223194
"187",36.43245006,117.892226810003,120.908267533418
"188",33.31957283,119.216274071051,120.894228739171
"189",38.44456904,120.529262722924,120.867035496767
"190",38.31250971,121.864921523253,120.876210445654
"191",33.0962459,123.214182413442,120.888701644457
"192",30.96055643,124.552605865868,120.892349531618
"193",26.92224014,125.890697560389,120.900971760666
"194",33.27886807,127.221269400921,120.872783642658
"195",33.35767982,128.481950832785,120.873225809418
"196",34.95311124,129.750815634448,120.881626976293
"197",31.92643478,131.012049996417,120.886269728061
"198",24.3851528,132.28854523856,120.855539151574
"199",24.49356797,133.566256927407,120.858965943574
"200",25.03543731,134.84087220625,120.838184107411
"201",21.19031328,136.108631146917,120.823371532724
"202",32.6627368,137.351065884524,120.828456449681
"203",37.88781082,138.658967576601,120.839510607692
"204",55.33028559,139.933361672244,120.865045714142
"205",38.38819818,141.232527073844,120.939661337267
"206",32.5443395,142.40872073189,120.922859012943
"207",28.895078,143.347375467612,120.946736016428
"208",31.30608706,144.333803394437,120.901192865253
"209",36.35165661,145.281526179326,120.883616738496
"210",28.03592104,146.1992801434,120.841942535084
"211",31.94120956,147.114822398053,120.820497460563
"212",46.57826059,148.037110391818,120.844374453051
"213",38.78623219,148.932304794713,120.835199493168
